x,y,r,b
2980.5,4030.5,2.549609661102295,77
2975.0,4030.5,1.1181340217590332,78
2968.0,4030.5,1.1181340217590332,72
3017.0,4029.5,2.5000998973846436,70
2909.5,4029.5,3.8079864978790283,80
2903.0,4027.5,1.1181340217590332,76
2926.065185546875,4029.28271484375,5.225180149078369,69
2918.0,4026.0,1.414313554763794,78
2930.0,4024.5,1.1181340217590332,71
2896.5,4027.78564453125,4.072210311889648,79
3006.5,4025.833251953125,3.205925464630127,78
2944.5,4023.5,1.581238865852356,73
2937.0,4026.0,5.000100135803223,76
2965.0,4024.5,3.5000998973846436,84
2917.0,4018.0,2.8285269737243652,74
2991.5,4016.0,1.1181340217590332,79
2960.5,4016.0,1.500100016593933,75
2996.5,4015.5,2.549609661102295,71
3008.5,4012.5,2.549609661102295,62
2986.0,4010.5,1.1181340217590332,83
2903.0,4010.5,1.1181340217590332,71
3018.5,4012.5,5.700977325439453,60
2904.0,4006.5,1.1181340217590332,76
2909.0,4004.25,2.0156643390655518,85
3014.0,4003.0,2.2361679077148438,69
2992.0,3997.0,1.414313554763794,65
2976.0,3997.5,2.6926822662353516,78
3022.5,3992.5,4.527792930603027,74
3003.10009765625,3988.699951171875,10.35873031616211,62
2990.0,3981.0,1.414313554763794,75
3016.5,3987.0,8.381627082824707,70
3001.0,3982.0,6.324655532836914,79
2973.0,3973.5,3.3542017936706543,77
3020.5,3973.0,3.9052248001098633,72
2991.5,3987.0,19.474441528320312,64
3022.0,3963.0,1.414313554763794,69
3022.0,3958.0,1.414313554763794,74
2979.95458984375,3949.5908203125,2.591318130493164,76
3012.5,3958.0,20.155742645263672,73
3018.5,3922.0,1.1181340217590332,71
3017.833251953125,3915.5,5.190985202789307,76
3018.0,3906.0,6.403224468231201,79
3022.0,3889.0,1.414313554763794,74
2987.5,3877.0,2.061652660369873,64
2996.5,3868.0,1.1181340217590332,73
3012.5,3587.0,5.315173149108887,75
3011.5,3578.5,1.581238865852356,77
3015.0,3110.0,3.6056511402130127,85
3022.5,3107.5,1.581238865852356,77
3019.5,3100.5,1.581238865852356,77
3010.71435546875,3101.571533203125,4.748767852783203,73
2959.8125,3075.1875,6.088639736175537,70
2988.318115234375,3071.04541015625,3.3186728954315186,68
3022.5,3064.5,2.549609661102295,74
2970.5,3070.5,10.12432861328125,72
2989.0,3049.5,1.1181340217590332,76
3012.699951171875,3038.699951171875,1.838646650314331,84
2992.0,3029.25,1.250100016593933,84
3010.0,3026.0,2.2361679077148438,77
2997.5,3027.0,3.3542017936706543,74
2968.5,3006.5,2.549609661102295,71
2978.0859375,3009.684814453125,8.296594619750977,72
2988.5,3001.5,2.12142014503479,71
2977.0,2996.5,6.18475866317749,84
2988.0,2994.0,3.1623775959014893,75
2977.5,2991.0,1.8028756380081177,77
2955.0,2989.0,5.099119663238525,67
2998.0,2982.5,2.061652660369873,71
2989.0,2980.0,1.414313554763794,74
3004.5,2979.0,29.753250122070312,57
2993.0,2945.5,3.6401548385620117,72
2992.0,2936.5,1.500100016593933,74
3014.5,2947.0,14.430970191955566,62
3002.18310546875,2936.9951171875,6.264486312866211,70
2985.0,2937.5,6.800835609436035,54
2977.642822265625,2925.78564453125,1.8212509155273438,72
2998.28955078125,2926.815673828125,5.99225378036499,71
2975.5,2919.5,1.581238865852356,66
3022.0,2885.0,3.1623775959014893,69
3020.5,2817.5,4.301262855529785,72
2960.0,2784.5,1.500100016593933,79
3018.0,2771.015625,16.015724182128906,68
3013.5,2750.5,1.581238865852356,76
3021.21435546875,2748.78564453125,2.5253825187683105,73
2940.0,2745.5,1.1181340217590332,78
2976.5,2743.5,3.8079864978790283,69
2993.833251953125,2724.166748046875,1.1787033081054688,71
2991.5,2719.0,1.8028756380081177,86
3011.0,2718.0,3.1623775959014893,81
3001.676513671875,2720.676513671875,6.275852203369141,65
2953.868408203125,2718.76318359375,4.324998378753662,77
2935.96142578125,2717.576904296875,3.9842395782470703,74
2927.0,2714.625,2.577040910720825,70
2945.5,2713.5,5.147915363311768,70
2952.0,2711.0,2.2361679077148438,73
2961.5,2709.0,3.3542017936706543,65
3016.5,2711.0,7.017934322357178,66
2999.5,2704.0,2.5000998973846436,73
3021.5,2704.5,4.527792930603027,69
2902.0,2699.5,2.6926822662353516,67
2944.5,2696.5,3.8079864978790283,72
2953.0,2701.5,24.88483428955078,74
3011.69384765625,2691.48974609375,8.657285690307617,72
2962.5,2678.5,1.581238865852356,72
3015.61767578125,2676.323486328125,7.570365905761719,69
2984.0,2672.0,1.414313554763794,88
3006.0625,2672.9375,5.74534273147583,76
2994.9482421875,2670.741455078125,3.4243204593658447,73
2985.5,2668.0,1.1181340217590332,74
3022.0,2666.0,1.414313554763794,78
2964.21435546875,2667.642822265625,5.41457986831665,75
2934.5,2664.5,1.581238865852356,82
3017.0,2662.5,2.6926822662353516,80
2936.0,2658.5,1.1181340217590332,70
2989.286376953125,2684.20263671875,32.9616813659668,65
3022.5,2651.0,1.1181340217590332,78
3007.73681640625,2652.842041015625,3.9122800827026367,64
2953.875,2654.0,10.920980453491211,75
2987.00390625,2652.2802734375,13.665838241577148,64
3011.5,2641.5,2.549609661102295,74
3020.0,2639.5,3.9052248001098633,72
2949.794189453125,2643.38232421875,7.385259628295898,64
2985.0,2636.5,4.272101879119873,73
2995.0,2634.0,1.414313554763794,72
2992.5,2626.0,6.576573371887207,74
3020.0,2622.0,3.6056511402130127,73
3007.379150390625,2630.23779296875,10.330392837524414,69
2989.833251953125,2614.166748046875,1.1787033081054688,71
3009.0,2614.0,14.31792163848877,75
3012.35302734375,2606.294189453125,4.3086628913879395,72
3009.5,2596.0,8.732224464416504,70
3023.0,2594.5,1.500100016593933,79
3017.0,2583.5,6.500100135803223,68
3016.5,2574.0,3.0414812564849854,83
2999.833251953125,2571.166748046875,1.1787033081054688,79
3021.0,2571.0,3.6056511402130127,64
2994.0,2556.0,5.385264873504639,75
3003.5,2550.0,1.1181340217590332,72
2999.5,2544.5,1.581238865852356,79
3010.9169921875,2556.55810546875,13.693058013916016,73
2992.0,2542.5,1.1181340217590332,72
3022.5,2545.0,4.031229019165039,72
3005.5,2541.0,1.500100016593933,74
3011.0,2537.5,6.500100135803223,71
2990.5625,2537.125,4.64574670791626,71
2980.258544921875,2535.810302734375,3.926149606704712,73
3017.5,2533.0,2.6926822662353516,72
2950.0,2532.5,3.201662063598633,73
2943.0,2535.5,6.576573371887207,73
3022.5,2528.0,3.0414812564849854,71
2942.0,2526.0,1.414313554763794,78
2934.5,2525.0,1.8028756380081177,75
2949.0,2524.0,3.1623775959014893,77
2940.0,2522.0,2.2361679077148438,73
2971.0,2522.0,2.2361679077148438,78
2979.357177734375,2516.357177734375,2.7199766635894775,84
2937.0,2516.0,6.082862854003906,74
2958.5,2514.0,3.6401548385620117,67
3014.5,2519.5,11.068072319030762,78
2964.5,2515.5,7.382511615753174,69
3021.5,2505.5,3.8079864978790283,69
2976.5,2505.5,4.301262855529785,59
2970.0,2500.0,5.385264873504639,66
2934.5,2503.5,10.977349281311035,74
2997.0,2511.0,28.0179500579834,67
2957.0,2502.0,10.816754341125488,73
2999.61767578125,2493.323486328125,2.7036917209625244,71
